location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,75,22,58,96,274,2021-10-16,day
BG,656,193,505,834,2392,2021-10-16,day
CZ,42,12,32,53,153,2021-10-16,day
DE,499,147,384,634,1820,2021-10-16,day
DK,2,1,2,3,8,2021-10-16,day
EE,85,25,65,108,309,2021-10-16,day
FR,117,34,90,149,426,2021-10-16,day
GB,662,195,510,841,2414,2021-10-16,day
GR,206,61,159,262,751,2021-10-16,day
HR,111,33,86,142,407,2021-10-16,day
IE,1,0,1,1,3,2021-10-16,day
IT,213,63,164,270,776,2021-10-16,day
LT,171,50,131,217,623,2021-10-16,day
LV,94,28,73,120,344,2021-10-16,day
NL,12,4,9,15,44,2021-10-16,day
NO,4,1,3,5,14,2021-10-16,day
PT,47,14,36,59,170,2021-10-16,day
RO,2751,812,2118,3497,10034,2021-10-16,day
SI,46,13,35,58,166,2021-10-16,day
