location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,44,13,34,55,159,2021-05-22,day
BE,182,54,140,231,663,2021-05-22,day
BG,178,53,137,227,651,2021-05-22,day
CZ,157,46,121,200,573,2021-05-22,day
DE,1093,322,842,1389,3986,2021-05-22,day
DK,2,1,2,3,8,2021-05-22,day
EE,14,4,11,18,52,2021-05-22,day
FI,5,1,4,6,18,2021-05-22,day
FR,926,273,713,1177,3378,2021-05-22,day
GB,64,19,49,81,232,2021-05-22,day
GR,272,80,209,346,992,2021-05-22,day
HR,190,56,147,242,695,2021-05-22,day
HU,412,122,318,524,1504,2021-05-22,day
IT,1075,317,828,1366,3919,2021-05-22,day
LT,42,12,32,53,152,2021-05-22,day
NL,85,25,66,109,312,2021-05-22,day
PL,1545,456,1189,1963,5633,2021-05-22,day
RO,432,128,333,549,1576,2021-05-22,day
SI,29,9,22,37,106,2021-05-22,day
SK,175,52,135,222,638,2021-05-22,day
