location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,130,38,100,166,476,2021-05-08,day
BE,268,79,206,341,978,2021-05-08,day
BG,558,165,430,710,2036,2021-05-08,day
CY,28,8,21,35,101,2021-05-08,day
CZ,251,74,193,319,915,2021-05-08,day
DE,1533,452,1180,1948,5590,2021-05-08,day
DK,40,12,31,51,147,2021-05-08,day
EE,31,9,24,39,111,2021-05-08,day
FI,5,1,4,6,18,2021-05-08,day
FR,1846,545,1421,2346,6732,2021-05-08,day
GB,79,23,61,101,288,2021-05-08,day
GR,372,110,286,473,1356,2021-05-08,day
HR,310,91,239,394,1131,2021-05-08,day
HU,1042,307,802,1324,3799,2021-05-08,day
IE,17,5,13,21,61,2021-05-08,day
IS,0,0,0,0,0,2021-05-08,day
IT,1696,500,1306,2155,6185,2021-05-08,day
LT,96,28,74,122,350,2021-05-08,day
LV,25,7,19,32,91,2021-05-08,day
MT,3,1,2,4,11,2021-05-08,day
NL,92,27,71,117,335,2021-05-08,day
NO,11,3,8,13,39,2021-05-08,day
PL,1823,538,1404,2317,6648,2021-05-08,day
PT,9,3,7,11,32,2021-05-08,day
RO,723,213,557,919,2637,2021-05-08,day
SI,56,17,43,72,206,2021-05-08,day
SK,170,50,131,217,622,2021-05-08,day
