location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,260,77,200,330,947,2021-12-18,day
BG,570,168,439,724,2077,2021-12-18,day
DE,3365,993,2591,4277,12272,2021-12-18,day
DK,50,15,38,64,182,2021-12-18,day
EE,37,11,29,47,136,2021-12-18,day
GB,723,213,557,919,2636,2021-12-18,day
GR,648,191,499,824,2365,2021-12-18,day
HR,358,105,275,454,1304,2021-12-18,day
IT,740,218,570,941,2699,2021-12-18,day
LT,109,32,84,138,396,2021-12-18,day
LV,86,25,66,110,315,2021-12-18,day
NL,540,159,416,687,1970,2021-12-18,day
PL,2957,872,2277,3759,10786,2021-12-18,day
PT,109,32,84,139,398,2021-12-18,day
SI,100,29,77,127,364,2021-12-18,day
SK,482,142,371,613,1759,2021-12-18,day
