location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,280,82,215,355,1019,2021-11-13,day
BG,1199,354,923,1524,4373,2021-11-13,day
CZ,764,225,588,971,2786,2021-11-13,day
DE,885,261,681,1125,3227,2021-11-13,day
FR,176,52,135,223,641,2021-11-13,day
GB,1138,336,876,1446,4149,2021-11-13,day
GR,390,115,300,496,1423,2021-11-13,day
HR,344,101,265,437,1253,2021-11-13,day
IT,279,82,215,355,1019,2021-11-13,day
LT,236,70,182,300,862,2021-11-13,day
LV,285,84,220,362,1040,2021-11-13,day
NL,312,92,241,397,1139,2021-11-13,day
NO,27,8,21,34,99,2021-11-13,day
PL,503,149,388,640,1836,2021-11-13,day
PT,67,20,52,85,245,2021-11-13,day
RO,3263,963,2513,4148,11901,2021-11-13,day
SI,105,31,81,134,385,2021-11-13,day
SK,731,216,563,929,2665,2021-11-13,day
