location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,72,21,55,91,261,2021-10-02,day
BG,403,119,310,512,1470,2021-10-02,day
CZ,23,7,18,29,83,2021-10-02,day
DE,414,122,318,526,1508,2021-10-02,day
DK,14,4,11,18,51,2021-10-02,day
EE,20,6,15,25,73,2021-10-02,day
GB,882,260,679,1121,3216,2021-10-02,day
GR,181,54,140,231,662,2021-10-02,day
HR,107,32,83,136,391,2021-10-02,day
IT,327,96,252,416,1192,2021-10-02,day
LT,130,38,100,166,476,2021-10-02,day
LV,99,29,76,126,362,2021-10-02,day
NL,31,9,23,39,111,2021-10-02,day
PT,43,13,33,55,157,2021-10-02,day
RO,1244,367,958,1581,4537,2021-10-02,day
SK,37,11,28,46,133,2021-10-02,day
