location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,4,1,3,5,15,2021-08-28,day
DK,3,1,2,4,11,2021-08-28,day
FI,10,3,8,13,38,2021-08-28,day
LV,8,2,6,10,29,2021-08-28,day
NO,1,0,1,1,3,2021-08-28,day
