location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
BE,48,14,37,61,175,2021-06-26,day
BG,109,32,84,138,397,2021-06-26,day
CZ,32,10,25,41,118,2021-06-26,day
DE,344,101,265,437,1253,2021-06-26,day
DK,5,1,4,6,18,2021-06-26,day
FI,1,0,1,1,3,2021-06-26,day
FR,254,75,196,323,927,2021-06-26,day
GB,86,25,66,109,312,2021-06-26,day
GR,108,32,83,138,395,2021-06-26,day
HR,27,8,21,35,100,2021-06-26,day
HU,20,6,16,26,74,2021-06-26,day
IS,0,0,0,0,0,2021-06-26,day
IT,153,45,118,194,557,2021-06-26,day
LT,24,7,19,31,88,2021-06-26,day
LU,0,0,0,0,0,2021-06-26,day
LV,30,9,23,38,110,2021-06-26,day
NL,14,4,11,17,50,2021-06-26,day
PL,121,36,93,154,441,2021-06-26,day
RO,132,39,102,168,482,2021-06-26,day
SE,0,0,0,0,1,2021-06-26,day
SI,9,3,7,11,32,2021-06-26,day
SK,50,15,38,63,182,2021-06-26,day
