location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,43,13,33,54,155,2021-10-09,day
BG,628,185,483,798,2289,2021-10-09,day
CZ,39,12,30,50,142,2021-10-09,day
DE,407,120,314,518,1486,2021-10-09,day
DK,26,8,20,33,95,2021-10-09,day
EE,12,4,10,16,45,2021-10-09,day
GB,647,191,498,822,2358,2021-10-09,day
GR,231,68,178,294,843,2021-10-09,day
HR,63,19,48,80,229,2021-10-09,day
IE,13,4,10,16,47,2021-10-09,day
IT,277,82,214,352,1011,2021-10-09,day
LT,196,58,151,249,714,2021-10-09,day
LV,70,21,54,89,257,2021-10-09,day
NL,36,11,28,46,131,2021-10-09,day
NO,7,2,5,9,25,2021-10-09,day
PL,104,31,80,132,379,2021-10-09,day
PT,107,32,82,136,390,2021-10-09,day
RO,1676,494,1290,2130,6112,2021-10-09,day
SI,42,12,33,54,154,2021-10-09,day
