location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,57,17,44,72,208,2021-06-05,day
BE,70,21,54,89,256,2021-06-05,day
BG,128,38,99,163,467,2021-06-05,day
CY,4,1,3,5,15,2021-06-05,day
CZ,59,17,46,75,216,2021-06-05,day
DE,650,192,500,826,2369,2021-06-05,day
DK,20,6,16,26,74,2021-06-05,day
EE,5,1,4,6,18,2021-06-05,day
FI,22,6,17,28,79,2021-06-05,day
GB,49,14,37,62,177,2021-06-05,day
GR,202,60,156,257,738,2021-06-05,day
HR,67,20,51,85,244,2021-06-05,day
HU,139,41,107,177,508,2021-06-05,day
IE,0,0,0,0,0,2021-06-05,day
IS,0,0,0,0,0,2021-06-05,day
IT,658,194,506,836,2398,2021-06-05,day
LI,0,0,0,0,0,2021-06-05,day
LT,62,18,47,78,225,2021-06-05,day
LV,29,9,23,37,107,2021-06-05,day
NL,67,20,52,85,244,2021-06-05,day
NO,2,1,2,3,7,2021-06-05,day
PL,443,131,341,563,1616,2021-06-05,day
PT,3,1,3,4,12,2021-06-05,day
RO,277,82,214,353,1012,2021-06-05,day
SI,21,6,16,27,76,2021-06-05,day
SK,32,10,25,41,118,2021-06-05,day
