location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
BE,20,6,15,26,73,2021-08-07,day
BG,21,6,16,27,76,2021-08-07,day
CY,23,7,18,29,83,2021-08-07,day
DE,75,22,58,96,275,2021-08-07,day
GB,577,170,445,734,2106,2021-08-07,day
GR,117,35,90,149,428,2021-08-07,day
HU,18,5,14,23,67,2021-08-07,day
IE,4,1,3,6,16,2021-08-07,day
IS,0,0,0,0,0,2021-08-07,day
IT,116,34,89,148,424,2021-08-07,day
LI,0,0,0,0,0,2021-08-07,day
LT,7,2,5,9,26,2021-08-07,day
LU,1,0,1,2,4,2021-08-07,day
LV,9,3,7,12,35,2021-08-07,day
NL,65,19,50,83,237,2021-08-07,day
NO,0,0,0,0,0,2021-08-07,day
PL,11,3,9,14,41,2021-08-07,day
PT,211,62,163,269,771,2021-08-07,day
RO,17,5,13,21,61,2021-08-07,day
SI,6,2,5,8,23,2021-08-07,day
SK,23,7,18,29,83,2021-08-07,day
