location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,5,2,4,7,19,2021-06-19,day
BE,36,11,28,46,132,2021-06-19,day
BG,36,11,28,46,132,2021-06-19,day
CY,17,5,13,22,63,2021-06-19,day
CZ,68,20,52,86,248,2021-06-19,day
DE,395,117,304,503,1442,2021-06-19,day
EE,2,1,2,3,8,2021-06-19,day
FI,5,1,3,6,16,2021-06-19,day
FR,215,64,166,274,786,2021-06-19,day
GB,101,30,78,128,368,2021-06-19,day
GR,107,32,83,137,392,2021-06-19,day
HR,47,14,37,60,173,2021-06-19,day
HU,30,9,23,39,111,2021-06-19,day
IE,0,0,0,0,0,2021-06-19,day
IS,0,0,0,0,0,2021-06-19,day
IT,525,155,404,667,1913,2021-06-19,day
LT,18,5,14,23,67,2021-06-19,day
LU,0,0,0,0,0,2021-06-19,day
LV,55,16,42,70,200,2021-06-19,day
MT,0,0,0,0,0,2021-06-19,day
NO,3,1,2,4,11,2021-06-19,day
PL,317,94,244,403,1157,2021-06-19,day
PT,24,7,18,30,86,2021-06-19,day
RO,1976,583,1521,2511,7205,2021-06-19,day
SI,19,6,15,24,69,2021-06-19,day
SK,22,6,17,28,80,2021-06-19,day
