location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,47,14,36,59,170,2021-05-29,day
BE,123,36,95,156,448,2021-05-29,day
BG,145,43,112,184,529,2021-05-29,day
CZ,73,22,57,93,268,2021-05-29,day
DE,1170,345,901,1487,4267,2021-05-29,day
DK,5,2,4,7,20,2021-05-29,day
EE,18,5,13,22,64,2021-05-29,day
FI,0,0,0,0,0,2021-05-29,day
FR,327,96,252,415,1191,2021-05-29,day
GB,26,8,20,33,96,2021-05-29,day
GR,333,98,256,423,1213,2021-05-29,day
HR,139,41,107,177,507,2021-05-29,day
HU,204,60,157,260,745,2021-05-29,day
IS,0,0,0,0,0,2021-05-29,day
IT,832,246,641,1058,3036,2021-05-29,day
LI,0,0,0,0,0,2021-05-29,day
LT,100,29,77,127,364,2021-05-29,day
LV,87,26,67,110,316,2021-05-29,day
MT,0,0,0,0,0,2021-05-29,day
NL,88,26,68,112,321,2021-05-29,day
PL,836,247,644,1063,3049,2021-05-29,day
PT,14,4,11,18,50,2021-05-29,day
RO,303,89,234,385,1106,2021-05-29,day
SI,33,10,25,42,119,2021-05-29,day
SK,31,9,24,39,113,2021-05-29,day
