location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,418,123,322,531,1525,2021-11-27,day
BG,848,250,653,1078,3093,2021-11-27,day
CZ,806,238,621,1025,2940,2021-11-27,day
DE,1749,516,1346,2223,6377,2021-11-27,day
DK,71,21,55,90,259,2021-11-27,day
EE,41,12,32,53,151,2021-11-27,day
FR,357,105,275,453,1300,2021-11-27,day
GB,971,286,748,1234,3541,2021-11-27,day
GR,551,163,424,700,2010,2021-11-27,day
HR,429,127,330,545,1565,2021-11-27,day
IT,407,120,313,517,1484,2021-11-27,day
LT,182,54,140,232,665,2021-11-27,day
LV,143,42,110,181,521,2021-11-27,day
NL,361,106,278,458,1315,2021-11-27,day
NO,3,1,2,4,11,2021-11-27,day
PL,3062,903,2357,3891,11166,2021-11-27,day
PT,76,22,59,97,277,2021-11-27,day
RO,1654,488,1274,2102,6032,2021-11-27,day
SK,416,123,320,528,1516,2021-11-27,day
