location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,1,0,0,1,2,2021-07-31,day
BE,6,2,5,8,23,2021-07-31,day
BG,28,8,22,36,103,2021-07-31,day
CH,0,0,0,0,0,2021-07-31,day
CY,19,6,15,24,70,2021-07-31,day
EE,1,0,1,1,3,2021-07-31,day
FI,0,0,0,0,1,2021-07-31,day
FR,158,47,121,200,575,2021-07-31,day
GB,608,179,468,773,2218,2021-07-31,day
GR,48,14,37,61,176,2021-07-31,day
HU,0,0,0,0,1,2021-07-31,day
IE,1,0,1,2,5,2021-07-31,day
IS,0,0,0,0,0,2021-07-31,day
IT,74,22,57,93,268,2021-07-31,day
LI,0,0,0,0,0,2021-07-31,day
LU,0,0,0,0,1,2021-07-31,day
MT,0,0,0,0,0,2021-07-31,day
NL,43,13,33,55,157,2021-07-31,day
PL,5,2,4,7,19,2021-07-31,day
RO,5,2,4,7,19,2021-07-31,day
