location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,461,136,355,586,1683,2021-12-04,day
BG,744,220,573,946,2714,2021-12-04,day
DE,2464,727,1897,3131,8985,2021-12-04,day
DK,93,28,72,119,341,2021-12-04,day
EE,66,19,51,84,241,2021-12-04,day
GB,620,183,477,788,2260,2021-12-04,day
GR,637,188,490,809,2322,2021-12-04,day
HR,377,111,290,479,1374,2021-12-04,day
IT,548,162,422,697,2000,2021-12-04,day
LT,134,39,103,170,488,2021-12-04,day
LV,171,50,132,217,623,2021-12-04,day
NL,455,134,350,578,1659,2021-12-04,day
NO,50,15,39,64,184,2021-12-04,day
PL,2435,718,1875,3095,8879,2021-12-04,day
PT,93,27,71,118,338,2021-12-04,day
RO,909,268,700,1155,3315,2021-12-04,day
SI,141,42,108,179,514,2021-12-04,day
SK,520,153,400,660,1895,2021-12-04,day
