location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,119,35,91,151,433,2021-05-15,day
BE,252,74,194,320,919,2021-05-15,day
BG,504,149,388,641,1840,2021-05-15,day
CY,22,7,17,28,82,2021-05-15,day
CZ,216,64,166,274,786,2021-05-15,day
DE,1568,463,1207,1993,5718,2021-05-15,day
DK,5,2,4,7,20,2021-05-15,day
FI,7,2,5,9,26,2021-05-15,day
FR,1369,404,1054,1740,4994,2021-05-15,day
GB,43,13,33,55,159,2021-05-15,day
GR,489,144,377,622,1784,2021-05-15,day
HR,266,79,205,339,971,2021-05-15,day
HU,549,162,423,698,2002,2021-05-15,day
IE,3,1,2,3,10,2021-05-15,day
IS,0,0,0,0,0,2021-05-15,day
IT,1341,396,1033,1705,4892,2021-05-15,day
LT,65,19,50,82,237,2021-05-15,day
LV,139,41,107,176,506,2021-05-15,day
MT,2,1,2,3,9,2021-05-15,day
NL,122,36,94,156,446,2021-05-15,day
PL,1381,407,1063,1755,5036,2021-05-15,day
PT,10,3,8,12,36,2021-05-15,day
RO,515,152,397,655,1878,2021-05-15,day
SI,12,4,10,16,45,2021-05-15,day
SK,231,68,178,293,841,2021-05-15,day
