location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,86,25,66,110,315,2021-09-18,day
BG,534,157,411,678,1946,2021-09-18,day
CY,12,4,9,16,45,2021-09-18,day
CZ,8,2,6,10,30,2021-09-18,day
DE,468,138,361,595,1708,2021-09-18,day
DK,45,13,35,58,166,2021-09-18,day
EE,36,11,28,46,132,2021-09-18,day
GB,796,235,613,1011,2902,2021-09-18,day
GR,295,87,228,376,1078,2021-09-18,day
HR,120,36,93,153,439,2021-09-18,day
IT,445,131,342,565,1622,2021-09-18,day
LT,90,27,70,115,330,2021-09-18,day
LV,38,11,29,48,138,2021-09-18,day
NO,18,5,14,23,65,2021-09-18,day
PL,66,19,51,84,240,2021-09-18,day
PT,44,13,34,56,160,2021-09-18,day
RO,476,141,367,606,1738,2021-09-18,day
SI,22,6,17,27,79,2021-09-18,day
SK,30,9,23,38,110,2021-09-18,day
