location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,184,54,142,234,673,2021-05-01,day
BE,293,86,225,372,1067,2021-05-01,day
BG,594,175,457,755,2166,2021-05-01,day
CH,131,39,101,166,478,2021-05-01,day
CY,4,1,3,5,15,2021-05-01,day
CZ,406,120,313,516,1481,2021-05-01,day
DE,1629,481,1255,2071,5942,2021-05-01,day
DK,28,8,21,35,101,2021-05-01,day
EE,49,14,37,62,178,2021-05-01,day
FI,4,1,3,5,14,2021-05-01,day
FR,2038,601,1569,2590,7432,2021-05-01,day
GB,152,45,117,193,554,2021-05-01,day
GR,492,145,379,626,1795,2021-05-01,day
HR,287,85,221,364,1045,2021-05-01,day
HU,1167,344,899,1483,4256,2021-05-01,day
IE,31,9,24,39,112,2021-05-01,day
IS,0,0,0,0,0,2021-05-01,day
IT,1946,574,1498,2473,7096,2021-05-01,day
LI,9,3,7,12,33,2021-05-01,day
LT,107,32,83,137,392,2021-05-01,day
LV,34,10,26,43,124,2021-05-01,day
MT,21,6,16,27,78,2021-05-01,day
NL,132,39,102,168,483,2021-05-01,day
NO,13,4,10,16,46,2021-05-01,day
PL,2623,774,2020,3334,9567,2021-05-01,day
PT,27,8,21,34,98,2021-05-01,day
RO,1223,361,941,1554,4459,2021-05-01,day
SI,57,17,44,72,207,2021-05-01,day
SK,219,64,168,278,797,2021-05-01,day
