location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,403,119,311,513,1471,2021-12-11,day
BG,632,186,486,803,2304,2021-12-11,day
DE,2458,725,1892,3124,8963,2021-12-11,day
DK,89,26,68,113,324,2021-12-11,day
EE,9,3,7,12,34,2021-12-11,day
FR,849,250,654,1079,3096,2021-12-11,day
GB,840,248,646,1067,3062,2021-12-11,day
GR,556,164,428,707,2029,2021-12-11,day
HR,324,96,250,412,1182,2021-12-11,day
IT,561,165,432,713,2046,2021-12-11,day
LT,114,34,88,145,416,2021-12-11,day
LV,81,24,62,103,295,2021-12-11,day
MT,0,0,0,0,0,2021-12-11,day
NL,461,136,355,587,1683,2021-12-11,day
NO,21,6,16,26,76,2021-12-11,day
PL,2991,882,2303,3802,10908,2021-12-11,day
PT,145,43,111,184,527,2021-12-11,day
RO,581,171,447,738,2119,2021-12-11,day
SI,117,35,90,149,427,2021-12-11,day
SK,681,201,525,866,2485,2021-12-11,day
