location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,73,22,56,93,267,2021-10-30,day
BG,999,295,769,1269,3642,2021-10-30,day
CZ,144,42,111,182,523,2021-10-30,day
DE,583,172,449,740,2125,2021-10-30,day
DK,17,5,13,22,64,2021-10-30,day
EE,39,12,30,50,143,2021-10-30,day
GB,817,241,629,1039,2981,2021-10-30,day
GR,268,79,206,341,977,2021-10-30,day
HR,133,39,103,169,486,2021-10-30,day
IE,12,3,9,15,43,2021-10-30,day
IT,271,80,209,345,989,2021-10-30,day
LT,185,55,143,235,676,2021-10-30,day
LV,226,67,174,287,825,2021-10-30,day
NL,51,15,39,65,186,2021-10-30,day
NO,7,2,5,8,24,2021-10-30,day
PL,230,68,177,292,838,2021-10-30,day
PT,30,9,23,38,108,2021-10-30,day
RO,3449,1017,2655,4383,12577,2021-10-30,day
SI,79,23,61,101,288,2021-10-30,day
