location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,38,11,29,49,140,2021-09-11,day
BG,669,197,515,850,2440,2021-09-11,day
CY,18,5,14,23,67,2021-09-11,day
CZ,0,0,0,0,1,2021-09-11,day
DK,8,2,6,10,29,2021-09-11,day
EE,27,8,21,34,97,2021-09-11,day
FI,15,4,11,19,54,2021-09-11,day
GB,744,220,573,946,2715,2021-09-11,day
GR,325,96,250,413,1186,2021-09-11,day
HR,93,27,72,118,339,2021-09-11,day
IT,523,154,402,664,1906,2021-09-11,day
LT,143,42,110,182,522,2021-09-11,day
NL,52,15,40,66,189,2021-09-11,day
NO,9,3,7,11,32,2021-09-11,day
RO,267,79,206,340,975,2021-09-11,day
SI,6,2,5,7,21,2021-09-11,day
SK,2,1,1,2,7,2021-09-11,day
