location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
BE,15,4,11,19,54,2021-07-17,day
CY,7,2,5,8,24,2021-07-17,day
CZ,42,12,32,53,151,2021-07-17,day
DE,127,38,98,162,465,2021-07-17,day
DK,1,0,1,1,3,2021-07-17,day
EE,2,1,2,3,8,2021-07-17,day
FI,3,1,2,4,10,2021-07-17,day
FR,127,38,98,162,465,2021-07-17,day
GB,406,120,313,516,1480,2021-07-17,day
GR,41,12,31,52,148,2021-07-17,day
HR,7,2,6,9,26,2021-07-17,day
HU,21,6,16,27,78,2021-07-17,day
IE,1,0,1,1,3,2021-07-17,day
IS,0,0,0,0,0,2021-07-17,day
IT,99,29,76,126,362,2021-07-17,day
LI,0,0,0,0,0,2021-07-17,day
LT,6,2,4,7,20,2021-07-17,day
LV,53,16,40,67,192,2021-07-17,day
MT,0,0,0,0,0,2021-07-17,day
NL,3,1,3,4,12,2021-07-17,day
NO,1,0,1,1,2,2021-07-17,day
PL,57,17,44,73,208,2021-07-17,day
PT,110,32,85,140,401,2021-07-17,day
RO,49,14,37,62,177,2021-07-17,day
SE,8,2,6,10,28,2021-07-17,day
SI,8,2,6,10,29,2021-07-17,day
SK,9,3,7,11,32,2021-07-17,day
