location,forecast_MOCOS-agent1,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
PL,44870,25355,25634,25977,26460,27322,29596,30135,30723,31486,43613,44493,44870,45275,45549,45848,46225,46498,46927,47399,47895,48492,49021,49674,2021-05-08,day
