location,forecast_Karlen-pypm,target_date,type
AT,68,2021-11-27,day
CZ,73,2021-11-27,day
DE,1229,2021-11-27,day
DK,0,2021-11-27,day
ES,575,2021-11-27,day
FI,104,2021-11-27,day
FR,953,2021-11-27,day
GR,272,2021-11-27,day
HU,42,2021-11-27,day
IE,49,2021-11-27,day
IT,419,2021-11-27,day
LT,26,2021-11-27,day
LV,40,2021-11-27,day
NL,2,2021-11-27,day
NO,27,2021-11-27,day
PL,788,2021-11-27,day
PT,44,2021-11-27,day
SE,202,2021-11-27,day
SI,29,2021-11-27,day
SK,87,2021-11-27,day
