location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,1178,98,656,1744,9135,2021-06-19,day
BE,6658,553,3708,9853,51622,2021-06-19,day
BG,404,34,225,598,3134,2021-06-19,day
CY,224,19,125,332,1737,2021-06-19,day
CZ,1300,108,724,1924,10078,2021-06-19,day
DE,11766,977,6554,17414,91236,2021-06-19,day
DK,5657,470,3151,8373,43866,2021-06-19,day
EE,337,28,188,498,2611,2021-06-19,day
FI,580,48,323,858,4494,2021-06-19,day
FR,26446,2195,14731,39141,205066,2021-06-19,day
GB,65152,5408,36290,96425,505189,2021-06-19,day
GR,3576,297,1992,5292,27728,2021-06-19,day
HR,589,49,328,872,4568,2021-06-19,day
HU,1342,111,748,1986,10408,2021-06-19,day
IS,0,0,0,0,0,2021-06-19,day
IT,8883,737,4948,13146,68876,2021-06-19,day
LI,30,2,17,44,230,2021-06-19,day
LT,1098,91,611,1625,8513,2021-06-19,day
LV,1002,83,558,1484,7773,2021-06-19,day
MT,30,3,17,45,234,2021-06-19,day
NL,4345,361,2420,6430,33689,2021-06-19,day
NO,953,79,531,1410,7388,2021-06-19,day
PL,738,61,411,1093,5726,2021-06-19,day
PT,5380,447,2996,7962,41714,2021-06-19,day
RO,463,38,258,685,3590,2021-06-19,day
SE,6053,502,3372,8958,46935,2021-06-19,day
SI,1512,125,842,2237,11721,2021-06-19,day
SK,620,51,345,917,4807,2021-06-19,day
