location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,10276,853,5724,15208,79678,2021-09-11,day
CY,936,78,521,1385,7256,2021-09-11,day
CZ,1247,104,695,1846,9670,2021-09-11,day
DE,93102,7727,51858,137792,721916,2021-09-11,day
DK,5791,481,3226,8571,44902,2021-09-11,day
EE,3522,292,1962,5213,27312,2021-09-11,day
FI,3342,277,1861,4946,25913,2021-09-11,day
GB,230537,19135,128409,341194,1787582,2021-09-11,day
IE,12092,1004,6735,17896,93759,2021-09-11,day
IT,29689,2464,16537,43939,230206,2021-09-11,day
LT,3794,315,2113,5615,29415,2021-09-11,day
NL,18517,1537,10314,27406,143584,2021-09-11,day
PL,1149,95,640,1700,8909,2021-09-11,day
PT,14041,1165,7821,20781,108875,2021-09-11,day
SI,5301,440,2953,7845,41102,2021-09-11,day
