location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,2184,181,1216,3232,16935,2021-06-05,day
BE,17869,1483,9953,26445,138553,2021-06-05,day
BG,937,78,522,1386,7262,2021-06-05,day
CY,210,17,117,311,1630,2021-06-05,day
CZ,2249,187,1253,3328,17438,2021-06-05,day
DE,56486,4688,31463,83599,437992,2021-06-05,day
DK,5983,497,3332,8854,46389,2021-06-05,day
EE,992,82,553,1468,7693,2021-06-05,day
FI,1595,132,888,2360,12366,2021-06-05,day
FR,15459,1283,8610,22879,119867,2021-06-05,day
GB,6057,503,3374,8964,46966,2021-06-05,day
GR,4838,402,2695,7160,37514,2021-06-05,day
HR,1356,113,756,2007,10517,2021-06-05,day
HU,1601,133,892,2369,12411,2021-06-05,day
IS,15,1,9,23,119,2021-06-05,day
IT,16335,1356,9098,24175,126659,2021-06-05,day
LI,13,1,7,20,104,2021-06-05,day
LT,2816,234,1569,4168,21835,2021-06-05,day
LV,1573,131,876,2328,12197,2021-06-05,day
MT,8,1,5,12,63,2021-06-05,day
NL,13675,1135,7617,20239,106035,2021-06-05,day
NO,3917,325,2182,5797,30374,2021-06-05,day
PL,3372,280,1878,4990,26144,2021-06-05,day
PT,2332,194,1299,3451,18079,2021-06-05,day
RO,1573,131,876,2327,12193,2021-06-05,day
SI,1371,114,764,2030,10634,2021-06-05,day
SK,890,74,496,1317,6902,2021-06-05,day
