location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,132180,10971,73624,195627,1024926,2021-12-04,day
BG,11298,938,6293,16721,87604,2021-12-04,day
CZ,155033,12868,86353,229449,1202126,2021-12-04,day
DE,476496,39549,265408,705214,3694751,2021-12-04,day
DK,19029,1579,10599,28163,147550,2021-12-04,day
EE,3045,253,1696,4507,23613,2021-12-04,day
FR,254098,21090,141532,376064,1970272,2021-12-04,day
GB,299654,24871,166908,443489,2323521,2021-12-04,day
GR,47041,3904,26202,69620,364755,2021-12-04,day
HR,22980,1907,12800,34011,178190,2021-12-04,day
IT,96115,7978,53536,142251,745278,2021-12-04,day
LT,6695,556,3729,9908,51912,2021-12-04,day
LV,2643,219,1472,3912,20496,2021-12-04,day
NL,207687,17238,115682,307377,1610408,2021-12-04,day
NO,19104,1586,10641,28274,148132,2021-12-04,day
PL,213037,17682,118662,315295,1651892,2021-12-04,day
PT,28712,2383,15993,42494,222633,2021-12-04,day
RO,6558,544,3653,9706,50854,2021-12-04,day
SK,98019,8136,54597,145069,760042,2021-12-04,day
