location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,7658,636,4265,11333,59377,2021-12-25,day
BG,9874,820,5500,14614,76564,2021-12-25,day
DE,245684,20392,136846,363612,1905033,2021-12-25,day
DK,67463,5599,37577,99846,523112,2021-12-25,day
EE,2748,228,1531,4067,21308,2021-12-25,day
GB,401560,33330,223669,594309,3113699,2021-12-25,day
GR,28165,2338,15688,41684,218390,2021-12-25,day
HR,15650,1299,8717,23162,121349,2021-12-25,day
IE,18557,1540,10336,27464,143890,2021-12-25,day
IT,138283,11477,77023,204658,1072243,2021-12-25,day
LT,8973,745,4998,13279,69573,2021-12-25,day
LV,3859,320,2149,5711,29923,2021-12-25,day
NL,86978,7219,48447,128728,674430,2021-12-25,day
NO,50451,4187,28101,74668,391199,2021-12-25,day
PL,128137,10635,71373,189643,993578,2021-12-25,day
PT,33495,2780,18656,49572,259717,2021-12-25,day
SI,5770,479,3214,8539,44738,2021-12-25,day
SK,17033,1414,9488,25209,132076,2021-12-25,day
