location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,53655,4453,29886,79409,416040,2021-11-13,day
BG,16625,1380,9260,24605,128909,2021-11-13,day
CZ,70945,5888,39516,104999,550109,2021-11-13,day
DK,19029,1579,10599,28164,147554,2021-11-13,day
EE,18457,1532,10281,27317,143119,2021-11-13,day
FR,48104,3993,26794,71194,372999,2021-11-13,day
GB,226776,18822,126314,335628,1758418,2021-11-13,day
GR,32616,2707,18167,48272,252906,2021-11-13,day
HR,19513,1620,10869,28880,151307,2021-11-13,day
IE,16503,1370,9192,24424,127962,2021-11-13,day
IT,48011,3985,26742,71056,372275,2021-11-13,day
LT,19865,1649,11065,29401,154035,2021-11-13,day
LV,18028,1496,10042,26682,139790,2021-11-13,day
NL,90050,7474,50158,133274,698245,2021-11-13,day
NO,15051,1249,8384,22276,116708,2021-11-13,day
PL,98837,8204,55052,146279,766385,2021-11-13,day
PT,5154,428,2871,7627,39962,2021-11-13,day
SI,24242,2012,13503,35877,187969,2021-11-13,day
SK,25523,2118,14217,37775,197909,2021-11-13,day
