location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,3757,312,2092,5560,29129,2021-05-22,day
BE,18376,1525,10235,27196,142484,2021-05-22,day
BG,3022,251,1683,4472,23430,2021-05-22,day
CY,1616,134,900,2392,12533,2021-05-22,day
CZ,6763,561,3767,10009,52441,2021-05-22,day
DE,62657,5201,34900,92732,485839,2021-05-22,day
DK,7373,612,4107,10912,57172,2021-05-22,day
FI,1467,122,817,2171,11373,2021-05-22,day
FR,57442,4768,31995,85015,445408,2021-05-22,day
GB,12720,1056,7085,18825,98627,2021-05-22,day
GR,17187,1426,9573,25436,133266,2021-05-22,day
HR,4842,402,2697,7166,37545,2021-05-22,day
HU,3774,313,2102,5586,29265,2021-05-22,day
IE,2094,174,1166,3098,16233,2021-05-22,day
IS,3,0,2,5,26,2021-05-22,day
IT,43271,3592,24102,64042,335526,2021-05-22,day
LT,7345,610,4091,10870,56949,2021-05-22,day
LV,3498,290,1948,5177,27123,2021-05-22,day
MT,51,4,29,76,398,2021-05-22,day
NL,47171,3915,26274,69813,365764,2021-05-22,day
NO,2744,228,1528,4061,21276,2021-05-22,day
PL,9948,826,5541,14723,77139,2021-05-22,day
PT,1476,122,822,2184,11441,2021-05-22,day
RO,4403,365,2452,6516,34139,2021-05-22,day
SI,3710,308,2066,5490,28764,2021-05-22,day
SK,1969,163,1096,2913,15264,2021-05-22,day
