location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,16530,1372,9207,24465,128177,2021-09-25,day
BG,8974,745,4998,13281,69583,2021-09-25,day
CY,496,41,276,734,3845,2021-09-25,day
CZ,1713,142,954,2536,13286,2021-09-25,day
DE,50427,4185,28088,74632,391011,2021-09-25,day
DK,1638,136,913,2425,12705,2021-09-25,day
EE,4262,354,2374,6308,33048,2021-09-25,day
GB,253177,21014,141019,374702,1963133,2021-09-25,day
GR,9584,795,5338,14185,74316,2021-09-25,day
HR,9766,811,5440,14453,75724,2021-09-25,day
IE,15135,1256,8430,22400,117356,2021-09-25,day
IT,26193,2174,14590,38766,203101,2021-09-25,day
LT,8137,675,4532,12042,63091,2021-09-25,day
LV,4567,379,2544,6760,35416,2021-09-25,day
NO,5174,429,2882,7657,40119,2021-09-25,day
PL,2343,194,1305,3468,18169,2021-09-25,day
PT,4328,359,2411,6405,33558,2021-09-25,day
RO,30598,2540,17043,45285,237255,2021-09-25,day
SI,12225,1015,6809,18093,94794,2021-09-25,day
SK,4954,411,2759,7332,38415,2021-09-25,day
