location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,27439,2277,15284,40610,212762,2021-12-18,day
BG,10605,880,5907,15696,82233,2021-12-18,day
DE,373236,30979,207892,552389,2894069,2021-12-18,day
DK,25651,2129,14288,37964,198901,2021-12-18,day
EE,1969,163,1097,2914,15266,2021-12-18,day
FR,348505,28926,194117,515787,2702308,2021-12-18,day
GB,332533,27600,185221,492149,2578464,2021-12-18,day
GR,32820,2724,18281,48574,254487,2021-12-18,day
HR,17271,1433,9620,25561,133920,2021-12-18,day
IE,36461,3026,20309,53962,282716,2021-12-18,day
IT,139338,11565,77611,206221,1080430,2021-12-18,day
LT,9576,795,5334,14172,74249,2021-12-18,day
LV,2483,206,1383,3674,19251,2021-12-18,day
MT,843,70,470,1248,6536,2021-12-18,day
NL,138879,11527,77355,205540,1076865,2021-12-18,day
NO,37770,3135,21038,55899,292866,2021-12-18,day
PL,161208,13380,89793,238587,1250004,2021-12-18,day
PT,28954,2403,16127,42851,224506,2021-12-18,day
RO,4111,341,2290,6084,31877,2021-12-18,day
SI,7079,588,3943,10476,54887,2021-12-18,day
SK,74026,6144,41232,109558,573996,2021-12-18,day
