location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,453,38,252,670,3510,2021-07-10,day
BE,2677,222,1491,3962,20760,2021-07-10,day
BG,225,19,125,332,1741,2021-07-10,day
CH,73,6,41,108,565,2021-07-10,day
CZ,779,65,434,1152,6037,2021-07-10,day
DE,1975,164,1100,2923,15314,2021-07-10,day
DK,604,50,336,894,4683,2021-07-10,day
EE,42,3,23,62,322,2021-07-10,day
FI,1301,108,725,1926,10092,2021-07-10,day
FR,7190,597,4005,10642,55754,2021-07-10,day
GB,180828,15009,100721,267626,1402141,2021-07-10,day
GR,1469,122,818,2175,11393,2021-07-10,day
HR,397,33,221,588,3082,2021-07-10,day
HU,260,22,145,384,2012,2021-07-10,day
IE,2377,197,1324,3517,18429,2021-07-10,day
IS,0,0,0,0,0,2021-07-10,day
IT,1891,157,1053,2799,14663,2021-07-10,day
LT,45,4,25,66,346,2021-07-10,day
LV,142,12,79,210,1100,2021-07-10,day
MT,10,1,6,15,78,2021-07-10,day
NL,2012,167,1120,2977,15597,2021-07-10,day
NO,945,78,527,1399,7331,2021-07-10,day
PL,465,39,259,688,3604,2021-07-10,day
PT,11262,935,6273,16668,87329,2021-07-10,day
RO,169,14,94,250,1309,2021-07-10,day
SI,86,7,48,127,664,2021-07-10,day
SK,294,24,164,435,2281,2021-07-10,day
