location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,2412,200,1344,3570,18704,2021-08-14,day
BE,5967,495,3324,8832,46270,2021-08-14,day
BG,5693,472,3171,8425,44141,2021-08-14,day
CY,2445,203,1362,3618,18955,2021-08-14,day
CZ,1097,91,611,1624,8508,2021-08-14,day
DE,18754,1557,10446,27755,145415,2021-08-14,day
DK,8136,675,4532,12042,63089,2021-08-14,day
FI,8067,670,4493,11939,62552,2021-08-14,day
FR,174595,14491,97250,258401,1353812,2021-08-14,day
GB,71329,5920,39730,105567,553085,2021-08-14,day
GR,19063,1582,10618,28213,147812,2021-08-14,day
HR,894,74,498,1324,6934,2021-08-14,day
HU,203,17,113,301,1576,2021-08-14,day
IE,9334,775,5199,13815,72379,2021-08-14,day
IS,1373,114,765,2032,10646,2021-08-14,day
IT,55548,4610,30940,82211,430717,2021-08-14,day
LI,6,1,4,9,49,2021-08-14,day
LT,2914,242,1623,4313,22596,2021-08-14,day
LU,45,4,25,66,348,2021-08-14,day
LV,393,33,219,582,3051,2021-08-14,day
MT,252,21,140,372,1951,2021-08-14,day
NL,8685,721,4837,12853,67341,2021-08-14,day
NO,3550,295,1977,5254,27526,2021-08-14,day
PL,1287,107,717,1905,9982,2021-08-14,day
PT,6734,559,3751,9966,52213,2021-08-14,day
RO,2138,177,1191,3164,16575,2021-08-14,day
SI,772,64,430,1142,5986,2021-08-14,day
SK,248,21,138,367,1922,2021-08-14,day
