location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,37285,3095,20767,55181,289104,2021-11-06,day
BG,49785,4132,27730,73681,386031,2021-11-06,day
CZ,68385,5676,38091,101210,530260,2021-11-06,day
DE,189814,15755,105726,280925,1471819,2021-11-06,day
DK,16620,1379,9258,24598,128874,2021-11-06,day
EE,11703,971,6519,17321,90747,2021-11-06,day
GB,249383,20699,138906,369086,1933713,2021-11-06,day
GR,34916,2898,19448,51676,270742,2021-11-06,day
HR,40464,3359,22539,59887,313760,2021-11-06,day
IE,19604,1627,10920,29014,152012,2021-11-06,day
IT,33666,2794,18752,49825,261043,2021-11-06,day
LT,22281,1849,12410,32976,172765,2021-11-06,day
LV,27908,2316,15545,41304,216401,2021-11-06,day
NL,60390,5012,33637,89378,468267,2021-11-06,day
NO,7743,643,4313,11459,60036,2021-11-06,day
PL,84239,6992,46921,124673,653187,2021-11-06,day
PT,4010,333,2233,5935,31092,2021-11-06,day
RO,100446,8337,55949,148661,778861,2021-11-06,day
SI,24824,2060,13827,36740,192487,2021-11-06,day
