location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,15765,1309,8781,23333,122244,2021-10-16,day
BG,17639,1464,9825,26105,136771,2021-10-16,day
CZ,2971,247,1655,4398,23040,2021-10-16,day
DE,55270,4587,30785,81800,428565,2021-10-16,day
DK,3866,321,2153,5722,29978,2021-10-16,day
EE,6977,579,3886,10326,54100,2021-10-16,day
GB,168712,14003,93973,249694,1308195,2021-10-16,day
GR,14278,1185,7953,21132,110715,2021-10-16,day
HR,9728,807,5418,14397,75427,2021-10-16,day
IE,7856,652,4376,11628,60919,2021-10-16,day
IT,16942,1406,9437,25074,131367,2021-10-16,day
LT,16359,1358,9112,24212,126850,2021-10-16,day
LV,14030,1164,7815,20764,108787,2021-10-16,day
NL,10714,889,5968,15856,83075,2021-10-16,day
NO,1881,156,1048,2785,14589,2021-10-16,day
PL,5752,477,3204,8514,44605,2021-10-16,day
PT,2791,232,1555,4131,21645,2021-10-16,day
RO,116196,9644,64721,171970,900981,2021-10-16,day
SI,5577,463,3106,8253,43241,2021-10-16,day
