location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,13312,1105,7415,19702,103222,2021-09-18,day
BG,10680,886,5949,15806,82813,2021-09-18,day
CY,1259,105,701,1863,9763,2021-09-18,day
CZ,1160,96,646,1717,8998,2021-09-18,day
DK,2498,207,1391,3696,19366,2021-09-18,day
EE,2578,214,1436,3816,19991,2021-09-18,day
FI,4622,384,2575,6841,35840,2021-09-18,day
GB,252248,20937,140502,373327,1955929,2021-09-18,day
GR,13077,1085,7284,19354,101400,2021-09-18,day
HR,7255,602,4041,10738,56256,2021-09-18,day
IT,32300,2681,17991,47804,250454,2021-09-18,day
LT,6329,525,3525,9367,49078,2021-09-18,day
NL,17121,1421,9537,25340,132760,2021-09-18,day
NO,13441,1116,7486,19892,104218,2021-09-18,day
PL,1480,123,824,2190,11473,2021-09-18,day
RO,12966,1076,7222,19190,100542,2021-09-18,day
SI,5879,488,3275,8701,45586,2021-09-18,day
SK,3436,285,1914,5085,26640,2021-09-18,day
