location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,24685,2049,13749,36533,191406,2021-12-11,day
BG,12486,1036,6955,18479,96817,2021-12-11,day
DE,195791,16251,109055,289770,1518162,2021-12-11,day
DK,32850,2727,18297,48618,254719,2021-12-11,day
EE,2235,186,1245,3308,17333,2021-12-11,day
GB,323696,26867,180299,479070,2509939,2021-12-11,day
GR,40804,3387,22728,60390,316396,2021-12-11,day
HR,25940,2153,14448,38391,201137,2021-12-11,day
IT,116275,9651,64765,172086,901594,2021-12-11,day
LT,10850,901,6043,16058,84130,2021-12-11,day
LV,4823,400,2687,7138,37399,2021-12-11,day
NL,164204,13629,91461,243022,1273236,2021-12-11,day
NO,23269,1931,12961,34438,180427,2021-12-11,day
PL,135472,11244,75458,200498,1050447,2021-12-11,day
PT,30036,2493,16730,44453,232898,2021-12-11,day
RO,6937,576,3864,10266,53787,2021-12-11,day
SI,4203,349,2341,6220,32590,2021-12-11,day
SK,80771,6704,44990,119542,626301,2021-12-11,day
