location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,114896,9536,63997,170046,890902,2021-11-20,day
BG,24713,2051,13765,36576,191628,2021-11-20,day
CZ,100548,8345,56005,148811,779649,2021-11-20,day
DE,231624,19225,129015,342804,1796015,2021-11-20,day
FR,76894,6382,42830,113802,596232,2021-11-20,day
GB,168783,14009,94012,249799,1308745,2021-11-20,day
GR,92599,7686,51578,137046,718011,2021-11-20,day
HR,49277,4090,27447,72930,382094,2021-11-20,day
IE,28335,2352,15782,41935,219706,2021-11-20,day
IT,42686,3543,23776,63175,330988,2021-11-20,day
LT,15045,1249,8380,22267,116662,2021-11-20,day
LV,8045,668,4481,11906,62378,2021-11-20,day
NL,100836,8369,56166,149237,781883,2021-11-20,day
NO,16739,1389,9324,24773,129793,2021-11-20,day
PL,135579,11253,75517,200657,1051278,2021-11-20,day
PT,10191,846,5677,15083,79025,2021-11-20,day
RO,25984,2157,14473,38456,201479,2021-11-20,day
SI,38368,3185,21371,56785,297508,2021-11-20,day
SK,60154,4993,33506,89028,466435,2021-11-20,day
