location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
BE,5675,471,3161,8399,44003,2021-07-24,day
BG,144,12,80,214,1119,2021-07-24,day
CY,17734,1472,9878,26247,137512,2021-07-24,day
CZ,1034,86,576,1531,8019,2021-07-24,day
DE,6896,572,3841,10206,53474,2021-07-24,day
DK,8766,728,4883,12974,67973,2021-07-24,day
EE,913,76,509,1351,7079,2021-07-24,day
FI,2067,172,1151,3059,16029,2021-07-24,day
FR,45562,3782,25378,67431,353286,2021-07-24,day
GB,294620,24453,164103,436037,2284481,2021-07-24,day
GR,44782,3717,24943,66277,347238,2021-07-24,day
HR,518,43,288,766,4013,2021-07-24,day
HU,70,6,39,103,541,2021-07-24,day
IE,5072,421,2825,7507,39329,2021-07-24,day
IS,0,0,0,0,0,2021-07-24,day
LI,20,2,11,30,156,2021-07-24,day
LT,1035,86,577,1532,8028,2021-07-24,day
LV,80,7,44,118,619,2021-07-24,day
MT,12758,1059,7106,18883,98929,2021-07-24,day
NL,359410,29831,200191,531927,2786867,2021-07-24,day
NO,4011,333,2234,5936,31098,2021-07-24,day
PL,236,20,132,350,1831,2021-07-24,day
PT,27309,2267,15211,40417,211754,2021-07-24,day
RO,220,18,122,325,1705,2021-07-24,day
SE,620,51,345,917,4804,2021-07-24,day
SI,2087,173,1162,3089,16183,2021-07-24,day
SK,363,30,202,538,2818,2021-07-24,day
