location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,2041,169,1137,3021,15825,2021-08-07,day
BE,6484,538,3612,9596,50277,2021-08-07,day
BG,1549,129,863,2292,12007,2021-08-07,day
CH,4152,345,2313,6146,32198,2021-08-07,day
CY,5112,424,2848,7566,39642,2021-08-07,day
CZ,1059,88,590,1567,8212,2021-08-07,day
DE,14157,1175,7885,20952,109772,2021-08-07,day
DK,3050,253,1699,4514,23650,2021-08-07,day
EE,1437,119,801,2127,11145,2021-08-07,day
FI,4370,363,2434,6467,33884,2021-08-07,day
GB,94695,7860,52745,140149,734265,2021-08-07,day
GR,17544,1456,9772,25965,136037,2021-08-07,day
HR,1793,149,999,2653,13901,2021-08-07,day
HU,266,22,148,393,2059,2021-08-07,day
IE,13021,1081,7253,19272,100967,2021-08-07,day
IT,34642,2875,19296,51270,268614,2021-08-07,day
LI,65,5,36,96,500,2021-08-07,day
LV,327,27,182,484,2537,2021-08-07,day
MT,613,51,342,908,4757,2021-08-07,day
NL,22228,1845,12381,32897,172355,2021-08-07,day
NO,2274,189,1267,3366,17635,2021-08-07,day
PL,689,57,384,1020,5342,2021-08-07,day
PT,22074,1832,12295,32669,171160,2021-08-07,day
RO,1362,113,759,2016,10565,2021-08-07,day
SI,529,44,295,783,4101,2021-08-07,day
SK,535,44,298,792,4148,2021-08-07,day
