location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,7711,640,4295,11412,59792,2021-10-09,day
BG,9869,819,5497,14607,76526,2021-10-09,day
CZ,2623,218,1461,3883,20341,2021-10-09,day
DE,41648,3457,23198,61639,322937,2021-10-09,day
DK,2040,169,1136,3018,15814,2021-10-09,day
EE,5279,438,2940,7813,40932,2021-10-09,day
GB,243534,20213,135648,360430,1888360,2021-10-09,day
GR,12848,1066,7156,19015,99621,2021-10-09,day
HR,7386,613,4114,10932,57273,2021-10-09,day
IE,8813,731,4909,13043,68335,2021-10-09,day
IT,13835,1148,7706,20476,107276,2021-10-09,day
LT,13370,1110,7447,19787,103670,2021-10-09,day
LV,6448,535,3592,9543,49999,2021-10-09,day
NL,7917,657,4410,11718,61391,2021-10-09,day
NO,2727,226,1519,4036,21147,2021-10-09,day
PL,7123,591,3968,10542,55234,2021-10-09,day
PT,1924,160,1072,2847,14918,2021-10-09,day
RO,86133,7149,47976,127477,667875,2021-10-09,day
SK,12434,1032,6926,18402,96413,2021-10-09,day
