location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
BE,9446,784,5261,13980,73244,2021-07-31,day
BG,1207,100,672,1787,9360,2021-07-31,day
CY,7102,589,3956,10511,55068,2021-07-31,day
CZ,1360,113,758,2013,10547,2021-07-31,day
DE,18154,1507,10112,26869,140769,2021-07-31,day
DK,13440,1115,7486,19891,104211,2021-07-31,day
EE,269,22,150,398,2083,2021-07-31,day
ES,146106,12127,81381,216237,1132905,2021-07-31,day
FI,3027,251,1686,4479,23468,2021-07-31,day
FR,105404,8749,58710,155998,817301,2021-07-31,day
GB,470030,39012,261807,695644,3644610,2021-07-31,day
GR,28691,2381,15981,42463,222472,2021-07-31,day
HR,1038,86,578,1536,8048,2021-07-31,day
IE,16643,1381,9270,24631,129046,2021-07-31,day
IS,0,0,0,0,0,2021-07-31,day
IT,41986,3485,23386,62139,325557,2021-07-31,day
LI,0,0,0,1,3,2021-07-31,day
LT,1522,126,848,2252,11801,2021-07-31,day
LU,223,19,124,330,1729,2021-07-31,day
LV,188,16,105,278,1458,2021-07-31,day
MT,5053,419,2814,7478,39180,2021-07-31,day
NO,1021,85,569,1511,7917,2021-07-31,day
PL,638,53,355,944,4948,2021-07-31,day
PT,29476,2447,16418,43625,228558,2021-07-31,day
RO,557,46,310,824,4319,2021-07-31,day
SI,293,24,163,434,2275,2021-07-31,day
SK,580,48,323,858,4494,2021-07-31,day
