location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,1160,96,646,1716,8992,2021-06-26,day
BE,2108,175,1174,3120,16349,2021-06-26,day
BG,485,40,270,718,3760,2021-06-26,day
CY,406,34,226,601,3147,2021-06-26,day
CZ,751,62,418,1111,5822,2021-06-26,day
DE,7939,659,4422,11749,61556,2021-06-26,day
DK,1203,100,670,1780,9327,2021-06-26,day
EE,144,12,80,214,1119,2021-06-26,day
FI,257,21,143,381,1996,2021-06-26,day
FR,9988,829,5563,14782,77443,2021-06-26,day
GB,86298,7163,48068,127721,669154,2021-06-26,day
GR,2557,212,1424,3785,19829,2021-06-26,day
HR,465,39,259,688,3604,2021-06-26,day
HU,240,20,134,355,1859,2021-06-26,day
IE,1486,123,828,2199,11523,2021-06-26,day
IS,0,0,0,0,0,2021-06-26,day
IT,7773,645,4329,11504,60270,2021-06-26,day
LT,442,37,246,655,3430,2021-06-26,day
LU,96,8,54,142,746,2021-06-26,day
LV,634,53,353,938,4917,2021-06-26,day
MT,2,0,1,3,14,2021-06-26,day
NL,3687,306,2054,5457,28590,2021-06-26,day
NO,416,34,232,615,3223,2021-06-26,day
PL,1138,94,634,1685,8826,2021-06-26,day
PT,3660,304,2038,5416,28378,2021-06-26,day
RO,423,35,235,626,3278,2021-06-26,day
SI,546,45,304,808,4231,2021-06-26,day
SK,409,34,228,605,3171,2021-06-26,day
