location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,2764,229,1539,4090,21431,2021-05-29,day
BE,8936,742,4977,13225,69290,2021-05-29,day
BG,1941,161,1081,2872,15049,2021-05-29,day
CY,437,36,244,647,3392,2021-05-29,day
CZ,4060,337,2262,6009,31483,2021-05-29,day
DE,21084,1750,11744,31204,163484,2021-05-29,day
DK,8271,687,4607,12241,64135,2021-05-29,day
EE,1294,107,721,1916,10037,2021-05-29,day
FI,964,80,537,1426,7473,2021-05-29,day
FR,45435,3771,25307,67243,352301,2021-05-29,day
GB,17288,1435,9630,25587,134054,2021-05-29,day
GR,10379,861,5781,15361,80478,2021-05-29,day
HR,2078,172,1157,3075,16112,2021-05-29,day
HU,3494,290,1946,5171,27089,2021-05-29,day
IE,2458,204,1369,3638,19062,2021-05-29,day
IT,26190,2174,14588,38761,203078,2021-05-29,day
LT,7302,606,4067,10807,56619,2021-05-29,day
NL,21602,1793,12032,31970,167499,2021-05-29,day
NO,2312,192,1288,3421,17925,2021-05-29,day
PL,13766,1143,7667,20373,106738,2021-05-29,day
PT,2019,168,1125,2989,15659,2021-05-29,day
RO,2806,233,1563,4153,21759,2021-05-29,day
SI,1589,132,885,2352,12320,2021-05-29,day
SK,2579,214,1436,3816,19994,2021-05-29,day
