location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,1831,152,1020,2710,14197,2021-06-12,day
BE,6920,574,3854,10241,53654,2021-06-12,day
BG,874,73,487,1294,6781,2021-06-12,day
CH,2269,188,1264,3357,17590,2021-06-12,day
CY,122,10,68,180,944,2021-06-12,day
CZ,1560,129,869,2308,12094,2021-06-12,day
DE,16235,1347,9043,24027,125883,2021-06-12,day
DK,6372,529,3549,9430,49407,2021-06-12,day
EE,342,28,191,506,2654,2021-06-12,day
FI,464,38,258,686,3596,2021-06-12,day
GB,48895,4058,27235,72365,379133,2021-06-12,day
GR,10667,885,5942,15787,82712,2021-06-12,day
HR,811,67,452,1201,6291,2021-06-12,day
HU,483,40,269,715,3744,2021-06-12,day
IE,0,0,0,0,0,2021-06-12,day
IS,0,0,0,0,0,2021-06-12,day
IT,13065,1084,7277,19336,101303,2021-06-12,day
LI,2,0,1,3,14,2021-06-12,day
LT,1582,131,881,2341,12263,2021-06-12,day
LU,161,13,90,239,1251,2021-06-12,day
LV,1075,89,599,1591,8336,2021-06-12,day
MT,13,1,7,20,104,2021-06-12,day
NL,9514,790,5299,14080,73770,2021-06-12,day
NO,1553,129,865,2298,12039,2021-06-12,day
PL,1948,162,1085,2883,15107,2021-06-12,day
PT,2742,228,1527,4058,21259,2021-06-12,day
RO,673,56,375,995,5215,2021-06-12,day
SI,1193,99,664,1765,9247,2021-06-12,day
SK,344,29,192,510,2670,2021-06-12,day
