location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,325,27,181,480,2517,2021-07-03,day
BE,1084,90,604,1604,8402,2021-07-03,day
BG,507,42,282,750,3928,2021-07-03,day
CY,572,48,319,847,4438,2021-07-03,day
CZ,239,20,133,354,1857,2021-07-03,day
DE,1783,148,993,2638,13822,2021-07-03,day
DK,525,44,292,777,4070,2021-07-03,day
EE,174,14,97,257,1348,2021-07-03,day
FI,339,28,189,502,2630,2021-07-03,day
FR,5660,470,3153,8377,43888,2021-07-03,day
GB,80142,6652,44639,118610,621422,2021-07-03,day
GR,1217,101,678,1801,9434,2021-07-03,day
HR,195,16,109,289,1512,2021-07-03,day
HU,149,12,83,220,1152,2021-07-03,day
IE,1896,157,1056,2807,14704,2021-07-03,day
IS,0,0,0,0,0,2021-07-03,day
IT,3520,292,1961,5210,27294,2021-07-03,day
LT,211,18,118,312,1636,2021-07-03,day
LU,7,1,4,10,52,2021-07-03,day
LV,309,26,172,457,2396,2021-07-03,day
NL,2642,219,1472,3911,20488,2021-07-03,day
PL,406,34,226,601,3151,2021-07-03,day
RO,198,16,110,293,1537,2021-07-03,day
SE,1,0,1,2,11,2021-07-03,day
SI,150,12,84,222,1166,2021-07-03,day
SK,51,4,29,76,397,2021-07-03,day
