location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,10223,849,5694,15130,79268,2021-05-15,day
BE,14718,1222,8198,21782,114123,2021-05-15,day
BG,4504,374,2509,6666,34923,2021-05-15,day
CY,862,72,480,1276,6684,2021-05-15,day
CZ,10004,830,5572,14806,77571,2021-05-15,day
DE,102022,8468,56826,150993,791082,2021-05-15,day
DK,4902,407,2731,7256,38014,2021-05-15,day
EE,1864,155,1038,2759,14456,2021-05-15,day
FI,750,62,418,1110,5815,2021-05-15,day
FR,75047,6229,41801,111069,581912,2021-05-15,day
GB,12082,1003,6730,17882,93688,2021-05-15,day
GR,5131,426,2858,7594,39787,2021-05-15,day
HR,8742,726,4870,12939,67789,2021-05-15,day
HU,6838,568,3809,10121,53025,2021-05-15,day
IE,2753,228,1533,4074,21344,2021-05-15,day
IS,16,1,9,23,122,2021-05-15,day
IT,67576,5609,37640,100013,523985,2021-05-15,day
LT,10100,838,5625,14947,78312,2021-05-15,day
LV,5006,416,2788,7409,38817,2021-05-15,day
MT,14,1,8,20,106,2021-05-15,day
NL,27228,2260,15166,40297,211125,2021-05-15,day
NO,1928,160,1074,2853,14946,2021-05-15,day
PL,16220,1346,9034,24005,125767,2021-05-15,day
PT,2091,174,1164,3094,16210,2021-05-15,day
RO,4734,393,2637,7007,36711,2021-05-15,day
SI,4196,348,2337,6210,32537,2021-05-15,day
SK,2142,178,1193,3170,16610,2021-05-15,day
