location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,12281,1019,6840,18175,95224,2021-05-08,day
BE,22458,1864,12509,33237,174137,2021-05-08,day
BG,6225,517,3468,9213,48271,2021-05-08,day
CH,5415,449,3016,8014,41987,2021-05-08,day
CY,8901,739,4958,13173,69016,2021-05-08,day
CZ,10068,836,5608,14901,78070,2021-05-08,day
DE,130060,10795,72443,192489,1008486,2021-05-08,day
DK,1431,119,797,2118,11097,2021-05-08,day
EE,1504,125,838,2226,11663,2021-05-08,day
FI,1116,93,622,1652,8654,2021-05-08,day
FR,149629,12419,83344,221451,1160226,2021-05-08,day
GB,15868,1317,8839,23485,123043,2021-05-08,day
GR,13690,1136,7625,20261,106151,2021-05-08,day
HR,14418,1197,8031,21339,111799,2021-05-08,day
HU,7330,608,4083,10848,56835,2021-05-08,day
IE,3469,288,1932,5134,26896,2021-05-08,day
IS,333,28,186,493,2584,2021-05-08,day
IT,74403,6175,41443,110117,576924,2021-05-08,day
LI,110,9,61,163,852,2021-05-08,day
LT,7949,660,4427,11764,61635,2021-05-08,day
LV,4478,372,2494,6627,34721,2021-05-08,day
MT,76,6,42,112,589,2021-05-08,day
NL,44007,3653,24512,65131,341233,2021-05-08,day
NO,1934,161,1077,2862,14997,2021-05-08,day
PL,26970,2238,15022,39915,209124,2021-05-08,day
PT,2963,246,1651,4386,22979,2021-05-08,day
RO,9511,789,5298,14076,73749,2021-05-08,day
SI,3899,324,2171,5770,30229,2021-05-08,day
SK,2554,212,1422,3780,19802,2021-05-08,day
