location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,11741,975,6540,17377,91043,2021-10-23,day
BG,16896,1402,9411,25006,131009,2021-10-23,day
CZ,4310,358,2401,6379,33420,2021-10-23,day
DE,58768,4878,32734,86976,455684,2021-10-23,day
DK,6029,500,3358,8923,46748,2021-10-23,day
EE,9665,802,5383,14304,74942,2021-10-23,day
FR,18067,1500,10063,26738,140088,2021-10-23,day
GB,266760,22141,148585,394805,2068459,2021-10-23,day
GR,16354,1357,9109,24204,126808,2021-10-23,day
HR,9269,769,5163,13718,71872,2021-10-23,day
IE,7830,650,4361,11589,60716,2021-10-23,day
IT,11745,975,6542,17383,91074,2021-10-23,day
LT,20942,1738,11665,30994,162385,2021-10-23,day
LV,16740,1389,9324,24775,129801,2021-10-23,day
NL,26577,2206,14803,39333,206075,2021-10-23,day
NO,2135,177,1189,3160,16558,2021-10-23,day
PT,3543,294,1973,5244,27472,2021-10-23,day
RO,70733,5871,39398,104684,548461,2021-10-23,day
SI,4708,391,2622,6968,36506,2021-10-23,day
