location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,17875,1484,9957,26455,138605,2021-10-30,day
BG,32813,2723,18277,48563,254432,2021-10-30,day
CZ,17337,1439,9657,25659,134432,2021-10-30,day
DE,72600,6026,40438,107448,562942,2021-10-30,day
DK,5021,417,2797,7432,38936,2021-10-30,day
EE,11770,977,6556,17420,91268,2021-10-30,day
GB,350545,29095,195254,518807,2718128,2021-10-30,day
GR,21438,1779,11941,31729,166232,2021-10-30,day
HR,11035,916,6146,16331,85563,2021-10-30,day
IE,18502,1536,10305,27383,143463,2021-10-30,day
IT,14933,1239,8318,22101,115792,2021-10-30,day
LT,13857,1150,7718,20508,107446,2021-10-30,day
LV,29292,2431,16316,43353,227133,2021-10-30,day
NL,43819,3637,24407,64853,339775,2021-10-30,day
NO,2121,176,1181,3139,16445,2021-10-30,day
PT,3838,319,2138,5680,29760,2021-10-30,day
RO,116549,9674,64918,172493,903724,2021-10-30,day
SI,8168,678,4549,12088,63332,2021-10-30,day
