location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,2965,246,1652,4388,22991,2021-08-21,day
CZ,1005,83,560,1487,7791,2021-08-21,day
DE,33925,2816,18896,50209,263056,2021-08-21,day
DK,6136,509,3418,9082,47580,2021-08-21,day
EE,1116,93,622,1651,8652,2021-08-21,day
FI,7922,657,4412,11724,61425,2021-08-21,day
GB,214767,17826,119625,317856,1665307,2021-08-21,day
GR,20974,1741,11683,31042,162635,2021-08-21,day
HR,993,82,553,1469,7697,2021-08-21,day
IE,13614,1130,7583,20149,105565,2021-08-21,day
IT,46667,3873,25993,69067,361855,2021-08-21,day
LT,4827,401,2689,7144,37428,2021-08-21,day
NO,5281,438,2941,7816,40948,2021-08-21,day
PT,12305,1021,6854,18212,95416,2021-08-21,day
RO,2919,242,1626,4321,22637,2021-08-21,day
SI,1286,107,716,1904,9973,2021-08-21,day
