location,forecast_BIOCOMSC-Gompertz,0.025,0.25,0.75,0.975,target_date,type
AT,11956,992,6659,17694,92704,2021-09-04,day
BG,15935,1323,8876,23584,123559,2021-09-04,day
CY,1254,104,699,1856,9726,2021-09-04,day
CZ,964,80,537,1427,7479,2021-09-04,day
DE,93606,7769,52139,138537,725820,2021-09-04,day
DK,5665,470,3155,8384,43927,2021-09-04,day
EE,679,56,378,1004,5262,2021-09-04,day
FI,3126,259,1741,4626,24237,2021-09-04,day
FR,123344,10238,68702,182549,956406,2021-09-04,day
GB,271340,22521,151136,401583,2103969,2021-09-04,day
GR,22123,1836,12323,32742,171542,2021-09-04,day
IE,11927,990,6643,17652,92482,2021-09-04,day
IT,39781,3302,22158,58875,308459,2021-09-04,day
LT,3833,318,2135,5672,29718,2021-09-04,day
NL,18050,1498,10054,26714,139959,2021-09-04,day
PT,14425,1197,8034,21348,111848,2021-09-04,day
RO,8133,675,4530,12036,63061,2021-09-04,day
SI,2738,227,1525,4052,21230,2021-09-04,day
