location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,18528,14013,15576,16975,18528,20081,21480,23043,2021-03-20,day
BE,17613,9509,12314,14826,17613,20400,22911,25716,2021-03-20,day
BG,14551,10805,12102,13263,14551,15839,17000,18296,2021-03-20,day
CH,4126,0,0,0,4126,8427,12304,16633,2021-03-20,day
CY,2612,1717,2027,2304,2612,2920,3197,3507,2021-03-20,day
CZ,97551,59416,72617,84436,97551,110665,122484,135685,2021-03-20,day
DE,48054,9096,22582,34656,48054,61452,73526,87012,2021-03-20,day
DK,3034,1014,1713,2339,3034,3729,4355,5055,2021-03-20,day
EE,12138,10148,10837,11454,12138,12823,13440,14129,2021-03-20,day
ES,2858,0,0,0,2858,34706,63405,95461,2021-03-20,day
FI,5945,4781,5184,5544,5945,6345,6706,7109,2021-03-20,day
FR,146944,101563,117272,131337,146944,162551,176615,192325,2021-03-20,day
GB,23530,0,7835,15274,23530,31786,39225,47535,2021-03-20,day
GR,14555,11614,12632,13544,14555,15566,16478,17496,2021-03-20,day
HR,2714,0,0,995,2714,4434,5983,7714,2021-03-20,day
HU,50301,43717,45996,48036,50301,52565,54605,56884,2021-03-20,day
IE,3175,0,0,766,3175,5585,7756,10181,2021-03-20,day
IS,16,0,0,0,16,36,54,74,2021-03-20,day
IT,172319,131361,145540,158233,172319,186405,199098,213277,2021-03-20,day
LI,15,0,0,0,15,38,57,80,2021-03-20,day
LT,3645,0,824,2161,3645,5129,6466,7959,2021-03-20,day
LU,1015,0,0,277,1015,1753,2419,3162,2021-03-20,day
LV,4192,3167,3522,3840,4192,4545,4862,5217,2021-03-20,day
MT,2488,1787,2030,2247,2488,2729,2946,3188,2021-03-20,day
NL,35778,16220,22991,29052,35778,42504,48565,55335,2021-03-20,day
NO,4663,3182,3695,4153,4663,5172,5630,6143,2021-03-20,day
PL,118016,93668,102096,109642,118016,126390,133936,142365,2021-03-20,day
PT,2270,0,0,0,2270,4871,7216,9834,2021-03-20,day
RO,28353,19175,22352,25197,28353,31510,34354,37531,2021-03-20,day
SE,22109,0,3425,12281,22109,31937,40793,50686,2021-03-20,day
SI,4296,1527,2485,3344,4296,5249,6108,7066,2021-03-20,day
SK,14444,9722,11357,12820,14444,16068,17532,19167,2021-03-20,day
