location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,13681,9044,10649,12086,13681,15276,16713,18318,2021-03-13,day
BE,15746,7456,10325,12895,15746,18597,21166,24036,2021-03-13,day
BG,10221,6457,7760,8927,10221,11516,12683,13986,2021-03-13,day
CH,4786,0,0,423,4786,9148,13079,17471,2021-03-13,day
CY,1375,446,768,1056,1375,1695,1983,2305,2021-03-13,day
CZ,78322,39856,53172,65093,78322,91551,103473,116789,2021-03-13,day
DE,37841,0,11825,24156,37841,51525,63856,77630,2021-03-13,day
DK,1906,0,561,1199,1906,2614,3251,3963,2021-03-13,day
EE,7013,4898,5630,6286,7013,7740,8395,9127,2021-03-13,day
ES,11115,0,0,0,11115,39483,65047,93601,2021-03-13,day
FI,4110,2941,3346,3708,4110,4513,4875,5280,2021-03-13,day
FR,76029,28589,45011,59714,76029,92345,107047,123470,2021-03-13,day
GB,26886,2663,11048,18555,26886,35217,42724,51109,2021-03-13,day
GR,11163,8289,9284,10175,11163,12152,13043,14038,2021-03-13,day
HR,2192,0,0,440,2192,3944,5523,7287,2021-03-13,day
HU,27933,21237,23555,25630,27933,30236,32311,34629,2021-03-13,day
IE,3307,0,0,854,3307,5759,7969,10438,2021-03-13,day
IS,4,0,0,0,4,24,42,63,2021-03-13,day
IT,107229,65478,79931,92870,107229,121588,134527,148980,2021-03-13,day
LI,7,0,0,0,7,30,50,73,2021-03-13,day
LT,3146,0,279,1638,3146,4654,6013,7530,2021-03-13,day
LU,1078,0,0,327,1078,1830,2507,3264,2021-03-13,day
LV,4488,3441,3804,4128,4488,4848,5172,5535,2021-03-13,day
MT,1298,669,887,1082,1298,1514,1709,1926,2021-03-13,day
NL,27704,8063,14862,20949,27704,34459,40546,47346,2021-03-13,day
NO,2174,665,1187,1655,2174,2693,3161,3683,2021-03-13,day
PL,65883,41228,49763,57404,65883,74362,82003,90538,2021-03-13,day
PT,2615,0,0,0,2615,5246,7616,10265,2021-03-13,day
RO,22788,13389,16643,19556,22788,26021,28934,32187,2021-03-13,day
SE,18681,0,0,8586,18681,28777,37874,48036,2021-03-13,day
SI,3126,274,1262,2146,3126,4107,4991,5979,2021-03-13,day
SK,14440,9625,11292,12784,14440,16096,17589,19256,2021-03-13,day
