location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,23012,20498,21368,22148,23012,23877,24656,25526,2021-04-10,day
BE,37061,27919,31084,33917,37061,40205,43038,46203,2021-04-10,day
BG,28925,24956,26330,27560,28925,30291,31521,32895,2021-04-10,day
CH,7698,2923,4576,6056,7698,9340,10820,12472,2021-04-10,day
CY,2221,1622,1829,2015,2221,2427,2613,2820,2021-04-10,day
CZ,33525,18410,23642,28327,33525,38723,43408,48640,2021-04-10,day
DE,104716,85925,92430,98254,104716,111179,117002,123507,2021-04-10,day
DK,2505,392,1123,1778,2505,3232,3887,4618,2021-04-10,day
EE,8804,7817,8159,8465,8804,9144,9450,9791,2021-04-10,day
ES,24104,219,8488,15890,24104,32319,39721,47989,2021-04-10,day
FI,4380,3882,4055,4209,4380,4551,4706,4878,2021-04-10,day
FR,274427,232327,246900,259948,274427,288905,301953,316527,2021-04-10,day
GB,28378,14542,19332,23620,28378,33136,37424,42213,2021-04-10,day
GR,17249,15864,16343,16773,17249,17725,18154,18634,2021-04-10,day
HR,9712,5783,7143,8361,9712,11063,12280,13640,2021-04-10,day
HU,67647,55951,60000,63625,67647,71670,75295,79344,2021-04-10,day
IE,3425,1433,2123,2740,3425,4110,4727,5416,2021-04-10,day
IS,39,18,26,32,39,47,53,61,2021-04-10,day
IT,145518,125810,132632,138740,145518,152295,158403,165226,2021-04-10,day
LI,22,6,12,17,22,28,33,38,2021-04-10,day
LT,3972,2337,2903,3410,3972,4535,5042,5608,2021-04-10,day
LU,1188,646,833,1001,1188,1374,1542,1730,2021-04-10,day
LV,3372,2857,3036,3195,3372,3549,3709,3887,2021-04-10,day
MT,541,334,406,470,541,612,676,747,2021-04-10,day
NL,53651,48745,50444,51964,53651,55338,56858,58556,2021-04-10,day
NO,6330,5059,5499,5893,6330,6767,7161,7601,2021-04-10,day
PL,217556,185990,196918,206700,217556,228412,238194,249121,2021-04-10,day
PT,1356,0,0,518,1356,2194,2950,3793,2021-04-10,day
RO,42110,37781,39280,40621,42110,43598,44940,46438,2021-04-10,day
SE,32144,24125,26901,29386,32144,34902,37387,40163,2021-04-10,day
SI,6761,5722,6082,6404,6761,7119,7441,7801,2021-04-10,day
SK,6357,4554,5178,5737,6357,6977,7536,8160,2021-04-10,day
