location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,18656,14659,16043,17282,18656,20030,21269,22653,2021-04-24,day
BE,24956,15786,18960,21802,24956,28109,30951,34125,2021-04-24,day
BG,13855,9068,10725,12209,13855,15501,16985,18642,2021-04-24,day
CH,10589,5962,7564,8998,10589,12180,13614,15216,2021-04-24,day
CY,3939,3486,3643,3783,3939,4095,4235,4392,2021-04-24,day
CZ,12336,0,2743,7290,12336,17381,21928,27007,2021-04-24,day
DE,99686,81104,87537,93296,99686,106077,111836,118268,2021-04-24,day
DK,3819,1999,2629,3193,3819,4445,5009,5639,2021-04-24,day
EE,2457,1675,1946,2188,2457,2726,2968,3239,2021-04-24,day
ES,39296,16080,24117,31312,39296,47281,54476,62513,2021-04-24,day
FI,1539,920,1134,1326,1539,1752,1943,2157,2021-04-24,day
FR,271755,218554,236971,253459,271755,290051,306539,324956,2021-04-24,day
GB,16811,0,2073,9058,16811,24563,31549,39352,2021-04-24,day
GR,20550,18998,19535,20016,20550,21084,21565,22102,2021-04-24,day
HR,15678,13344,14152,14875,15678,16480,17203,18011,2021-04-24,day
HU,33392,20971,25271,29120,33392,37663,41513,45812,2021-04-24,day
IE,2448,902,1438,1917,2448,2980,3459,3994,2021-04-24,day
IS,37,16,24,30,37,44,51,58,2021-04-24,day
IT,87285,71575,77013,81882,87285,92687,97556,102994,2021-04-24,day
LI,56,41,46,51,56,62,66,72,2021-04-24,day
LT,7015,5972,6333,6656,7015,7374,7697,8059,2021-04-24,day
LU,1254,730,911,1074,1254,1435,1597,1779,2021-04-24,day
LV,3273,2776,2948,3102,3273,3444,3598,3770,2021-04-24,day
MT,93,0,0,9,93,177,253,337,2021-04-24,day
NL,46966,43161,44478,45657,46966,48274,49454,50771,2021-04-24,day
NO,4002,2450,2988,3469,4002,4536,5017,5554,2021-04-24,day
PL,139779,101367,114664,126568,139779,152989,164894,178191,2021-04-24,day
PT,1129,0,0,309,1129,1950,2689,3515,2021-04-24,day
RO,29564,26193,27360,28405,29564,30724,31768,32935,2021-04-24,day
SE,35385,29564,31579,33383,35385,37387,39191,41206,2021-04-24,day
SI,7472,6467,6815,7127,7472,7818,8129,8477,2021-04-24,day
SK,3060,1314,1918,2460,3060,3661,4203,4807,2021-04-24,day
