location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,21323,0,4458,12452,21323,30193,38187,47116,2021-04-03,day
BE,29988,20580,23837,26752,29988,33223,36138,39395,2021-04-03,day
BG,32148,27415,29054,30521,32148,33776,35243,36881,2021-04-03,day
CH,6867,0,521,3529,6867,10205,13213,16573,2021-04-03,day
CY,3036,1796,2226,2610,3036,3463,3847,4277,2021-04-03,day
CZ,59483,0,9834,33368,59483,85599,109132,135419,2021-04-03,day
DE,90553,52363,65584,77419,90553,103687,115523,128743,2021-04-03,day
DK,4714,0,0,533,4714,8894,12661,16869,2021-04-03,day
EE,10701,7927,8887,9747,10701,11655,12515,13475,2021-04-03,day
ES,12162,0,0,0,12162,37095,59563,84660,2021-04-03,day
FI,5167,3717,4219,4668,5167,5665,6115,6617,2021-04-03,day
FR,154598,102593,120596,136713,154598,172484,188601,206604,2021-04-03,day
GB,26086,0,7776,16455,26086,35716,44395,54089,2021-04-03,day
GR,19239,12782,15017,17018,19239,21459,23461,25696,2021-04-03,day
HR,6253,0,0,0,6253,15749,24306,33864,2021-04-03,day
HU,63759,46431,52429,57799,63759,69718,75088,81086,2021-04-03,day
IE,3089,44,1098,2041,3089,4136,5079,6133,2021-04-03,day
IS,16,0,2,8,16,23,30,37,2021-04-03,day
IT,160652,100468,121302,139954,160652,181349,200001,220835,2021-04-03,day
LI,17,0,0,0,17,34,50,67,2021-04-03,day
LT,3016,0,0,0,3016,9132,14644,20800,2021-04-03,day
LU,913,0,0,272,913,1553,2131,2775,2021-04-03,day
LV,3601,2091,2614,3082,3601,4120,4588,5111,2021-04-03,day
MT,1592,646,973,1266,1592,1917,2210,2537,2021-04-03,day
NL,42615,28572,33433,37785,42615,47445,51797,56658,2021-04-03,day
NO,7361,4834,5709,6492,7361,8230,9013,9888,2021-04-03,day
PL,160867,131119,141417,150636,160867,171097,180316,190614,2021-04-03,day
PT,1575,0,0,0,1575,18528,33806,50871,2021-04-03,day
RO,40147,26922,31500,35599,40147,44695,48793,53371,2021-04-03,day
SE,29003,1712,11160,19618,29003,38389,46847,56295,2021-04-03,day
SI,5075,1891,2993,3980,5075,6170,7157,8260,2021-04-03,day
SK,11302,5797,7703,9409,11302,13196,14902,16808,2021-04-03,day
