location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,9424,5648,6955,8125,9424,10722,11892,13199,2021-05-15,day
BE,19671,11036,14025,16701,19671,22641,25317,28306,2021-05-15,day
BG,2287,0,0,718,2287,3856,5270,6849,2021-05-15,day
CH,9232,5259,6634,7865,9232,10598,11829,13204,2021-05-15,day
CY,4449,3916,4101,4266,4449,4633,4798,4983,2021-05-15,day
CZ,7329,0,0,3463,7329,11196,14680,18572,2021-05-15,day
DE,125772,103216,111024,118015,125772,133529,140520,148328,2021-05-15,day
DK,4685,2949,3550,4088,4685,5282,5819,6420,2021-05-15,day
EE,1398,656,913,1143,1398,1652,1882,2139,2021-05-15,day
ES,46508,26451,33394,39610,46508,53406,59622,66565,2021-05-15,day
FI,563,84,250,398,563,728,877,1043,2021-05-15,day
FR,114807,63690,81385,97227,114807,132387,148229,165924,2021-05-15,day
GB,11316,0,0,3792,11316,18841,25621,33195,2021-05-15,day
GR,12483,10447,11152,11783,12483,13183,13814,14519,2021-05-15,day
HR,14409,11517,12518,13414,14409,15404,16300,17301,2021-05-15,day
HU,6471,0,344,3248,6471,9694,12598,15842,2021-05-15,day
IE,2686,1202,1716,2176,2686,3197,3657,4171,2021-05-15,day
IS,77,57,64,70,77,84,90,97,2021-05-15,day
IT,62373,47329,52537,57199,62373,67547,72210,77418,2021-05-15,day
LI,64,50,55,59,64,69,74,79,2021-05-15,day
LT,8814,7592,8015,8394,8814,9235,9614,10037,2021-05-15,day
LU,992,542,698,838,992,1147,1286,1442,2021-05-15,day
LV,4469,3999,4162,4307,4469,4631,4776,4939,2021-05-15,day
MT,83,0,0,2,83,163,236,318,2021-05-15,day
NL,42075,37301,38954,40433,42075,43716,45196,46848,2021-05-15,day
NO,1787,315,825,1281,1787,2293,2749,3259,2021-05-15,day
PL,15734,0,0,3001,15734,28466,39940,52756,2021-05-15,day
PT,2937,626,1426,2142,2937,3732,4448,5248,2021-05-15,day
RO,5370,2149,3264,4262,5370,6478,7476,8591,2021-05-15,day
SE,22470,16901,18829,20555,22470,24385,26111,28039,2021-05-15,day
SI,3779,2821,3153,3450,3779,4109,4406,4737,2021-05-15,day
SK,1364,0,269,788,1364,1941,2460,3040,2021-05-15,day
