location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,19847,0,0,7739,19847,31954,42864,55051,2021-03-27,day
BE,19865,10349,13643,16592,19865,23138,26087,29381,2021-03-27,day
BG,21049,17337,18622,19772,21049,22325,23475,24760,2021-03-27,day
CH,3757,0,0,365,3757,7149,10205,13619,2021-03-27,day
CY,3333,2307,2662,2980,3333,3686,4004,4359,2021-03-27,day
CZ,82126,43684,56992,68905,82126,95347,107261,120569,2021-03-27,day
DE,56175,17698,31018,42942,56175,69408,81333,94653,2021-03-27,day
DK,4884,0,0,0,4884,10571,15696,21421,2021-03-27,day
EE,11392,9101,9894,10604,11392,12180,12890,13683,2021-03-27,day
ES,1890,0,0,0,1890,27064,49750,75089,2021-03-27,day
FI,5582,4186,4669,5102,5582,6061,6494,6977,2021-03-27,day
FR,154371,101423,119752,136162,154371,172581,188991,207320,2021-03-27,day
GB,25084,6174,12720,18580,25084,31587,37448,43994,2021-03-27,day
GR,18796,12779,14862,16727,18796,20865,22730,24813,2021-03-27,day
HR,3792,0,0,0,3792,16736,28401,41430,2021-03-27,day
HU,66821,52743,57616,61979,66821,71663,76026,80900,2021-03-27,day
IE,2989,0,738,1805,2989,4173,5240,6432,2021-03-27,day
IS,15,0,0,5,15,25,34,44,2021-03-27,day
IT,173839,133555,147500,159985,173839,187694,200179,214124,2021-03-27,day
LI,14,0,0,0,14,36,56,77,2021-03-27,day
LT,3173,0,0,0,3173,11394,18803,27078,2021-03-27,day
LU,937,0,0,212,937,1663,2316,3046,2021-03-27,day
LV,3077,1494,2042,2533,3077,3622,4112,4660,2021-03-27,day
MT,2354,1477,1780,2052,2354,2655,2927,3230,2021-03-27,day
NL,37743,23543,28458,32859,37743,42626,47027,51943,2021-03-27,day
NO,6351,4638,5231,5762,6351,6941,7472,8065,2021-03-27,day
PL,128848,99780,109842,118851,128848,138845,147854,157916,2021-03-27,day
PT,1865,0,0,0,1865,4093,6101,8343,2021-03-27,day
RO,33129,24131,27246,30035,33129,36224,39012,42127,2021-03-27,day
SE,20581,0,2304,10967,20581,30195,38858,48535,2021-03-27,day
SI,3739,483,1610,2619,3739,4858,5867,6994,2021-03-27,day
SK,13546,7960,9894,11625,13546,15467,17198,19132,2021-03-27,day
