location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,13095,9174,10531,11746,13095,14443,15658,17015,2021-05-01,day
BE,19854,10879,13986,16767,19854,22940,25722,28829,2021-05-01,day
BG,6445,1743,3371,4828,6445,8062,9520,11147,2021-05-01,day
CH,10522,5968,7545,8956,10522,12088,13499,15075,2021-05-01,day
CY,4880,4446,4596,4731,4880,5029,5164,5314,2021-05-01,day
CZ,8704,0,0,3733,8704,13676,18156,23160,2021-05-01,day
DE,153933,135546,141911,147609,153933,160256,165954,172319,2021-05-01,day
DK,4681,2895,3513,4066,4681,5295,5848,6466,2021-05-01,day
EE,1531,766,1030,1268,1531,1794,2031,2296,2021-05-01,day
ES,47481,24582,32509,39606,47481,55356,62453,70380,2021-05-01,day
FI,948,330,544,735,948,1160,1352,1566,2021-05-01,day
FR,213602,160666,178991,195397,213602,231807,248213,266538,2021-05-01,day
GB,14785,0,197,7112,14785,22459,29374,37098,2021-05-01,day
GR,19156,17553,18108,18605,19156,19708,20205,20760,2021-05-01,day
HR,17444,15116,15922,16644,17444,18245,18967,19772,2021-05-01,day
HU,18959,6830,11029,14788,18959,23130,26889,31088,2021-05-01,day
IE,2714,1184,1714,2188,2714,3240,3714,4243,2021-05-01,day
IS,9,0,0,2,9,16,22,29,2021-05-01,day
IT,73850,58372,63730,68527,73850,79173,83969,89327,2021-05-01,day
LI,73,58,63,67,73,78,82,88,2021-05-01,day
LT,7798,6778,7131,7447,7798,8148,8465,8818,2021-05-01,day
LU,850,334,513,672,850,1027,1187,1366,2021-05-01,day
LV,4059,3572,3740,3891,4059,4226,4377,4545,2021-05-01,day
MT,75,0,0,0,75,159,234,317,2021-05-01,day
NL,45972,42142,43468,44655,45972,47289,48476,49802,2021-05-01,day
NO,2701,1184,1709,2179,2701,3223,3693,4218,2021-05-01,day
PL,84300,45862,59168,71081,84300,97519,109432,122738,2021-05-01,day
PT,3188,829,1646,2377,3188,4000,4731,5548,2021-05-01,day
RO,14816,11498,12647,13675,14816,15958,16986,18135,2021-05-01,day
SE,35277,29525,31516,33298,35277,37255,39037,41028,2021-05-01,day
SI,5409,4419,4762,5068,5409,5749,6056,6399,2021-05-01,day
SK,2370,649,1245,1778,2370,2961,3494,4090,2021-05-01,day
