location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,6645,2923,4212,5365,6645,7925,9079,10367,2021-05-22,day
BE,18333,9851,12787,15416,18333,21250,23879,26815,2021-05-22,day
BG,1498,0,0,0,1498,3046,4441,5999,2021-05-22,day
CH,8212,4296,5652,6865,8212,9559,10773,12129,2021-05-22,day
CY,2951,2409,2597,2765,2951,3138,3306,3493,2021-05-22,day
CZ,4743,0,0,910,4743,8575,12029,15887,2021-05-22,day
DE,95653,73411,81111,88004,95653,103302,110196,117895,2021-05-22,day
DK,5610,3869,4472,5012,5610,6209,6749,7351,2021-05-22,day
EE,1675,947,1199,1425,1675,1925,2151,2403,2021-05-22,day
ES,37682,17879,24734,30871,37682,44492,50630,57485,2021-05-22,day
FI,663,186,351,499,663,826,974,1139,2021-05-22,day
FR,79407,29265,46623,62163,79407,96652,112191,129549,2021-05-22,day
GB,9867,0,0,2413,9867,17321,24038,31541,2021-05-22,day
GR,12148,10128,10828,11454,12148,12843,13469,14168,2021-05-22,day
HR,8497,5613,6612,7505,8497,9489,10383,11381,2021-05-22,day
HU,3846,0,0,667,3846,7025,9889,13089,2021-05-22,day
IE,2611,1146,1653,2107,2611,3115,3569,4076,2021-05-22,day
IS,45,25,32,38,45,52,58,65,2021-05-22,day
IT,53539,38700,43837,48436,53539,58643,63242,68379,2021-05-22,day
LI,20,6,11,15,20,25,29,34,2021-05-22,day
LT,8945,7747,8162,8533,8945,9357,9729,10144,2021-05-22,day
LU,824,380,534,672,824,977,1114,1268,2021-05-22,day
LV,4167,3699,3861,4006,4167,4328,4473,4635,2021-05-22,day
MT,69,0,0,0,69,149,221,301,2021-05-22,day
NL,46900,42258,43865,45304,46900,48496,49935,51542,2021-05-22,day
NO,1731,285,786,1234,1731,2229,2677,3178,2021-05-22,day
PL,8329,0,0,0,8329,20903,32234,44891,2021-05-22,day
PT,2662,373,1165,1875,2662,3450,4159,4952,2021-05-22,day
RO,3761,577,1679,2666,3761,4856,5843,6945,2021-05-22,day
SE,27963,22487,24383,26080,27963,29846,31543,33439,2021-05-22,day
SI,3681,2738,3065,3357,3681,4005,4298,4624,2021-05-22,day
SK,1134,0,50,564,1134,1704,2217,2791,2021-05-22,day
